store_id,month,ca,type
S09,2026-05,30453.08984375,réel
S09,2026-06,34574.69140625,réel
S09,2026-07,30574.6088645996,prévision
S09,2026-08,28061.97398407635,prévision
S09,2026-09,28358.549451516978,prévision
S09,2026-10,28751.305922932926,prévision
S09,2026-11,26061.656496577863,prévision
S09,2026-12,31353.293306242394,prévision
S10,2026-01,35374.8515625,réel
S10,2026-02,35122.98046875,réel
S10,2026-03,35597.8984375,réel
S10,2026-04,35660.19140625,réel
S10,2026-05,34195.76953125,réel
S10,2026-06,36395.78125,réel
S10,2026-07,33882.729625431224,prévision
S10,2026-08,31774.63394440654,prévision
S10,2026-09,31964.222228046554,prévision
S10,2026-10,32709.423682455956,prévision
S10,2026-11,29673.70181093669,prévision
S10,2026-12,35618.65740274652,prévision
S11,2026-01,33123.83203125,réel
S11,2026-02,26738.599609375,réel
S11,2026-03,30875.419921875,réel
S11,2026-04,32035.349609375,réel
S11,2026-05,30142.890625,réel
S11,2026-06,34793.171875,réel
S11,2026-07,30220.37621436294,prévision
S11,2026-08,28253.791145511455,prévision
S11,2026-09,28683.45369297759,prévision
S11,2026-10,29397.569929529513,prévision
S11,2026-11,25965.828271042705,prévision
S11,2026-12,31363.020814720083,prévision
S12,2026-01,26944.58984375,réel
S12,2026-02,23527.958984375,réel
S12,2026-03,26373.640625,réel
S12,2026-04,28361.529296875,réel
S12,2026-05,25763.009765625,réel
S12,2026-06,29394.859375,réel
S12,2026-07,26221.44016195565,prévision
S12,2026-08,24382.39459347297,prévision
S12,2026-09,24421.83716771516,prévision
S12,2026-10,25119.59002210475,prévision
S12,2026-11,22174.818681983066,prévision
S12,2026-12,26902.253449106942,prévision
