store_id,month,ca_reel,ca_prev,effet_prix,effet_volume,effet_mix,dont_promo,dont_calendaire,dont_autre,ecart_total
S10,2026-04,35660.1900677681,33839.03216474669,0.0,-170.07915312025037,1991.2370561416571,0.0,712.3776229667799,1108.780280054627,1821.1579030214052
S10,2026-05,34195.77035570145,31743.586581315543,0.0,913.7555365923391,1538.4282377935642,347.243878800306,90.45389522867679,2014.4860003569204,2452.1837743859032
S10,2026-06,36395.779681921005,33934.036587593684,0.0,1843.799895969205,617.9431983581176,352.2278792867963,0.0,2109.515215040526,2461.743094327321
S11,2026-03,22786.79007768631,20790.25712668378,0.0,1237.214713319008,759.3182376835202,-174.81862592700173,0.0,2171.35157692953,1996.5329510025294
S11,2026-04,32035.350097179413,30245.025398344726,0.0,1912.0138756236552,-121.68917678896878,0.0,141.95299052499814,1648.3717083096883,1790.3246988346873
S11,2026-05,30142.890271663666,28549.500942978044,0.0,1452.2341949693853,141.15513371623547,1754.3474311660195,215.12071958484796,-376.07882206524675,1593.3893286856219
S11,2026-06,34793.169686317444,31437.839900336992,0.0,2144.153808805836,1211.1759771746151,-235.35129849636826,0.0,3590.6810844768193,3355.3297859804516
S12,2026-03,18324.400069713593,18872.675871070176,0.0,204.61059460994443,-752.8863959665276,-0.4863908911593411,0.0,-547.7894104654239,-548.2758013565835
S12,2026-04,28361.53008413315,26500.920080164135,0.0,1592.8757497960332,267.7342541729797,0.0,110.24132428482565,1750.3686796841873,1860.6100039690136
S12,2026-05,25763.01023697853,24060.95141906267,0.0,1679.1451833204192,22.913634595441636,1533.0292968198635,67.1507293544404,101.87879174155692,1702.0588179158622
S12,2026-06,29394.859684467316,27152.183418328535,0.0,1007.9410542995099,1234.7352118392703,-478.0699330739982,0.0,2720.7461992127783,2242.67626613878
